Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
8;904.192565917969;589.562696838379;9;276.4571;True;2760;80.58118;884.7737;26.41208;4107995
9;906.839904785156;579.102819728851;9;242.69;True;2760;74.33118;881.1711;37.4527;4473441
10;927.517639160156;700.360436725616;9;253.5936;True;2760;81.0957;908.6133;29.37846;4645663
11;937.410766601563;729.554122924805;9;237.1688;True;2760;66.09277;903.5035;35.91753;6849755
12;933.812866210938;723.996253508329;9;232.309;True;2760;72.03027;905.8431;33.07887;2314025
13;940.382751464844;637.447007790208;9;234.7805;True;2760;74.3446;914.7274;27.13183;7777881
14;930.382202148438;756.286129760742;9;207.6251;True;2760;78.1604;908.5426;32.70791;7585148
15;942.862426757813;779.501712067425;9;232.6598;True;2760;68.88806;911.7505;27.10156;1.515047E+07
16;942.0107421875;808.590342903137;10;206.0915;True;2760;66.05273;908.0635;26.79319;1.449423E+07
17;949.999633789063;852.379421520233;10;206.0915;True;2760;62.75024;912.7499;24.41038;2.297263E+07
18;934.970642089844;684.590981142595;10;206.0915;True;2760;77.65137;912.622;22.88703;2.003104E+07
19;943.618835449219;795.356500071287;9;270.9791;True;2760;65.92554;909.5444;25.74156;2.001837E+07
20;944.001708984375;756.044478470087;9;199.091;True;2760;65.92651;909.9282;32.00684;4308561
21;944.914123535156;819.852905845642;9;198.9048;True;2760;68.63062;913.5447;31.39025;1.744646E+07
22;942.404846191406;866.461736655235;9;215.2169;True;2760;69.03711;911.442;23.99786;1834323
23;944.484252929688;825.848613061383;9;215.2169;True;2760;65.86694;910.3512;34.69991;4236973
24;944.539733886719;876.986845764518;9;215.2169;True;2760;60.2876;904.8273;41.52529;9912066
25;943.018127441406;747.38684386611;8;211.8743;True;2760;68.95752;911.9756;31.23936;3845199
26;950.088439941406;747.022283606231;8;211.8743;True;2760;57.15845;907.2469;47.23474;1.476799E+07
27;946.353393554688;900.999003601074;8;242.3551;True;2760;63.0354;909.3888;33.19582;1.457427E+07
28;954.429992675781;836.114353992045;8;208.4401;True;2760;59.54663;913.9766;44.93834;6152491
29;940.378845214844;922.928131103516;8;211.8743;True;2760;66.4021;906.7809;35.38128;4724121
30;946.188598632813;775.47465980649;8;208.4401;True;2760;63.06836;909.257;33.38486;5052170
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;410.446472167969;81.5784905161709;9;326.4028;False;1552.351;55.66341;466.1099;-12.24913;39039.11
2;525.191284179688;173.588888460398;8;257.3545;False;2189.203;114.7882;639.9795;10.98306;23925.42
3;586.798828125;289.443132725358;9;216.6635;False;2216.229;96.20999;683.0088;-3.337936;30770.15
4;838.734985351563;448.229000002146;9;332.7203;True;2760;116.1549;854.8898;37.0092;1.598619E+07
5;847.486083984375;441.72096491605;8;274.9863;True;2760;87.56342;835.0495;46.84603;1.300123E+07
6;805.204223632813;497.559792327881;8;314.2542;True;2760;88.11731;793.3215;16.2905;7119093
7;851.420227050781;584.795757043362;8;298.8525;True;2760;90.04291;841.4631;51.25154;7143358
8;807.954772949219;552.770887387171;9;333.3702;True;2760;87.3396;795.2944;61.53949;8630213
9;857.2451171875;754.985418701172;9;406.3521;True;2760;90.13257;847.3777;46.9781;3059866
10;835.250061035156;657.111990118027;9;335.6183;True;2760;84.578;819.8281;44.19924;1.568768E+07
11;800.828674316406;630.855300661922;8;336.2817;True;2760;78.4834;779.3121;68.16573;8842732
12;822.890625;528.962399566546;8;336.2817;True;2760;80.3761;803.2667;67.74557;1.258358E+07
13;855.555908203125;591.656892800331;9;347.9925;True;2760;90.10266;845.6586;36.08083;1.887576E+07
14;767.734252929688;562.470072432607;8;336.2817;True;2760;78.32373;746.058;68.39732;1.671914E+07
15;866.04736328125;706.360523986816;8;299.768;True;2760;86.34448;852.3918;41.37377;7577617
16;869.95068359375;698.947560095787;8;336.2817;True;2760;70.80066;840.7513;52.0067;1858091
17;836.165344238281;755.794944763184;9;341.4842;True;2760;84.13477;820.3001;28.05662;1.325611E+07
18;863.419860839844;727.052773185074;9;358.7766;True;2760;71.53296;834.9528;42.5226;1.038648E+07
19;844.130493164063;722.307571411133;8;314.5752;True;2760;74.81519;818.9457;46.41772;5948262
20;799.63623046875;586.343724758923;9;326.3505;True;2760;82.66748;782.3037;26.67352;1.48326E+07
21;873.191650390625;541.033702693135;9;341.4842;True;2760;76.72095;849.9126;35.16882;1.186795E+07
22;863.930114746094;617.724226080999;9;338.7734;True;2760;68.48755;832.4177;39.05065;331786.3
23;782.206970214844;647.129973220825;9;319.7176;True;2760;83.64478;765.8517;30.20878;5766389
24;831.966796875;708.000434508547;9;322.4917;True;2760;72.6145;804.5813;76.16438;4556086
25;842.867614746094;577.979384143651;9;361.9917;True;2760;72.07446;814.9421;68.01218;1.093137E+07
26;776.119262695313;744.354486083984;9;361.9917;True;2760;71.77539;747.8947;65.13015;5297688
